anime_id,Titulo,Titulo en ingles,Titulo en japones,Link de portada,Tipo,Numero de episodios,Fechas de emision,Categoria,Puntuacion general,Posicionamiento,Popularidad,Miembros,Favoritos,Temporada de emision,Productores,Licencias,Estudio,Genero
11013,Inu x Boku SS,Inu X Boku Secret Service,妖狐×僕SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,TV,12,"Jan 13, 2012 to Mar 30, 2012",PG-13 - Teens 13 or older,7.63,1274.0,231,283882,2809,Winter 2012,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,TV,26,"Apr 2, 2007 to Oct 1, 2007",PG-13 - Teens 13 or older,7.89,727.0,366,204003,2579,Spring 2007,"TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,しゅごキャラ！！どきっ,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,TV,51,"Oct 4, 2008 to Sep 25, 2009",PG - Children,7.55,1508.0,1173,70127,802,Fall 2008,"TV Tokyo, Sotsu",Anonimo,Satelight,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,Princess Tutu,プリンセスチュチュ,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,TV,38,"Aug 16, 2002 to May 23, 2003",PG-13 - Teens 13 or older,8.21,307.0,916,93312,3344,Summer 2002,"Memory-Tech, GANSIS, Marvelous AQL",ADV Films,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,Bakuman.,バクマン。,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,TV,25,"Oct 6, 2012 to Mar 30, 2013",PG-13 - Teens 13 or older,8.67,50.0,426,182765,2082,Fall 2012,"NHK, Shueisha",Anonimo,J.C.Staff,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro Pâtissière,Sin Titulo,夢色パティシエール,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,TV,50,"Oct 4, 2009 to Sep 26, 2010",G - All Ages,8.03,526.0,1630,45625,826,Fall 2009,"Yomiuri Telecasting, DAX Production, Shueisha",Anonimo,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo"
178,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,TV,26,"May 20, 2003 to Nov 11, 2003",G - All Ages,7.26,2594.0,2490,22778,122,Spring 2003,"WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,TV,24,"Oct 5, 2007 to Mar 28, 2008",PG-13 - Teens 13 or older,7.72,1066.0,332,220591,1075,Fall 2007,"Geneon Universal Entertainment, ASCII Media Works",Funimation,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,Sin Titulo,のだめカンタービレ 巴里編,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,TV,11,"Oct 10, 2008 to Dec 19, 2008",PG-13 - Teens 13 or older,8.24,281.0,988,85660,282,Fall 2008,"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",Anonimo,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,TV,26,"Apr 5, 2006 to Sep 27, 2006",PG-13 - Teens 13 or older,8.34,205.0,69,538843,24072,Spring 2006,"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo"
4814,Junjou Romantica 2,Junjo Romantica 2,純情ロマンチカ2(に),https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,TV,12,"Oct 12, 2008 to Dec 28, 2008",PG-13 - Teens 13 or older,8.15,374.0,799,108186,1123,Fall 2008,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Nozomi Entertainment,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
7054,Kaichou wa Maid-sama!,Maid Sama!,会長はメイド様!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,TV,26,"Apr 2, 2010 to Sep 24, 2010",PG-13 - Teens 13 or older,8.2,314.0,71,531292,14436,Spring 2010,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,"Comedy, Romance, School, Shoujo"
11123,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2,世界一初恋 2,https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg,TV,12,"Oct 8, 2011 to Dec 24, 2011",PG-13 - Teens 13 or older,8.23,288.0,945,89543,726,Fall 2011,"Lantis, Kadokawa Shoten, AT-X, KlockWorx",Funimation,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
14227,Tonari no Kaibutsu-kun,My Little Monster,となりの怪物くん,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,TV,13,"Oct 2, 2012 to Dec 25, 2012",PG-13 - Teens 13 or older,7.71,1093.0,88,482105,4064,Fall 2012,"TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha","NIS America, Inc.",Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo"
269,Bleach,Bleach,BLEACH - ブリーチ -,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,TV,366,"Oct 5, 2004 to Mar 27, 2012",PG-13 - Teens 13 or older,7.9,693.0,18,819284,40718,Fall 2004,"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
59,Chobits,Chobits,ちょびっツ,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,TV,26,"Apr 3, 2002 to Sep 25, 2002",PG-13 - Teens 13 or older,7.53,1546.0,188,317641,3271,Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,https://myanimelist.cdn-dena.com/images/anime/7/17890.jpg,TV,25,"Oct 7, 2009 to Mar 31, 2010",PG-13 - Teens 13 or older,8.13,400.0,111,417136,8041,Fall 2009,"VAP, Nippon Television Network, Shueisha","NIS America, Inc.",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo"
1735,Naruto: Shippuuden,Naruto: Shippuden,ナルト- 疾風伝,https://myanimelist.cdn-dena.com/images/anime/5/17407.jpg,TV,500,"Feb 15, 2007 to Mar 23, 2017",PG-13 - Teens 13 or older,8.18,337.0,20,794112,42846,Winter 2007,"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
210,Ranma ½,Ranma ½,らんま1/2,https://myanimelist.cdn-dena.com/images/anime/13/6441.jpg,TV,161,"Apr 15, 1989 to Sep 25, 1992",R+ - Mild Nudity,7.85,802.0,623,134537,2742,Spring 1989,"Shogakukan Productions, Kitty Films, Fuji TV, Shogakukan",Viz Media,Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy"
4224,Toradora!,Toradora!,とらドラ！,https://myanimelist.cdn-dena.com/images/anime/13/22128.jpg,TV,25,"Oct 2, 2008 to Mar 26, 2009",PG-13 - Teens 13 or older,8.39,174.0,13,910373,35322,Fall 2008,"Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music","NIS America, Inc.",J.C.Staff,"Slice of Life, Comedy, Romance, School"
10030,Bakuman. 2nd Season,Bakuman.,バクマン。2ndシーズン,https://myanimelist.cdn-dena.com/images/anime/3/34923.jpg,TV,25,"Oct 1, 2011 to Mar 24, 2012",PG-13 - Teens 13 or older,8.49,108.0,374,201720,1023,Fall 2011,"NHK, Shueisha",Media Blasters,J.C.Staff,"Comedy, Drama, Romance, Shounen"
74,Gakuen Alice,Gakuen Alice,学園アリス,https://myanimelist.cdn-dena.com/images/anime/4/18118.jpg,TV,26,"Oct 30, 2004 to May 14, 2005",G - All Ages,7.77,941.0,1291,62951,1403,Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,"Comedy, School, Shoujo, Super Power"
4722,Skip Beat!,Skip Beat!,スキップ・ビート！,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,TV,25,"Oct 6, 2008 to Mar 30, 2009",PG-13 - Teens 13 or older,8.24,282.0,488,164738,4668,Fall 2008,"Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Pied Piper,Hal Film Maker,"Comedy, Drama, Romance, Shoujo"
14397,Chihayafuru 2,Sin Titulo,ちはやふる 2,https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg,TV,25,"Jan 12, 2013 to Jun 29, 2013",PG-13 - Teens 13 or older,8.47,116.0,757,114340,1116,Winter 2013,"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports"
1557,Shounen Onmyouji,Shonen Onmyoji,少年陰陽師,https://myanimelist.cdn-dena.com/images/anime/11/23852.jpg,TV,26,"Oct 3, 2006 to Mar 13, 2007",PG-13 - Teens 13 or older,7.68,1158.0,1793,39422,274,Fall 2006,"Sotsu, Marine Entertainment","Funimation, Geneon Entertainment USA",Studio Deen,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo"
10800,Chihayafuru,Chihayafuru,ちはやふる,https://myanimelist.cdn-dena.com/images/anime/3/35749.jpg,TV,25,"Oct 5, 2011 to Mar 28, 2012",PG-13 - Teens 13 or older,8.29,246.0,348,213902,4524,Fall 2011,"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports"
3731,Itazura na Kiss,ItaKiss,イタズラなKiss,https://myanimelist.cdn-dena.com/images/anime/10/19933.jpg,TV,25,"Apr 5, 2008 to Sep 25, 2008",PG-13 - Teens 13 or older,7.7,1108.0,473,170224,2632,Spring 2008,"Bandai Visual, Trinity Sound",Discotek Media,TMS Entertainment,"Comedy, Romance, Shoujo"
9513,Beelzebub,Beelzebub,べるぜバブ,https://myanimelist.cdn-dena.com/images/anime/3/28013.jpg,TV,60,"Jan 9, 2011 to Mar 25, 2012",PG-13 - Teens 13 or older,8.02,528.0,208,302082,3785,Winter 2011,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Discotek Media,Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen"
5835,Hanasakeru Seishounen,Sin Titulo,花咲ける青少年,https://myanimelist.cdn-dena.com/images/anime/6/22695.jpg,TV,39,"Apr 5, 2009 to Feb 14, 2010",PG-13 - Teens 13 or older,7.87,753.0,1654,44633,500,Spring 2009,Anonimo,Anonimo,Studio Pierrot,"Drama, Romance, Shoujo"
9863,SKET Dance,SKET Dance,スケットダンス,https://myanimelist.cdn-dena.com/images/anime/9/73974.jpg,TV,77,"Apr 7, 2011 to Sep 27, 2012",PG-13 - Teens 13 or older,8.33,213.0,646,130264,2474,Spring 2011,"TV Tokyo, Avex Entertainment, Dentsu",Anonimo,Tatsunoko Production,"Comedy, School, Shounen"
